INDIVIDUAL_ID,AGERAW,GENDER,BBC_VMF,SKY_VMF,VIRGIN_VMF,ALBA,BBC1,BBC2,BBC4,CBBC,CBEEBIES,NEWS,PARLIAMENT
I-1010475_1,74,2,10,4,7,0,92.6,6.9,0,0,0,0,0.5
I-1010475_1,75,2,10,4,7,0,92.6,6.9,0,0,0,0,0.5
I-1010469_1,66,2,9,8,8,0.2,26,18.6,23.6,0,0,28.3,3.4
I-1010443_1,68,2,2,1,3,0,14.2,53,32.8,0,0,0,0
I-1010443_1,69,2,2,1,3,0,14.2,53,32.8,0,0,0,0
I-1010425_1,52,1,1,1,1,0,100,0,0,0,0,0,0
I-1010425_1,53,1,1,1,1,0,100,0,0,0,0,0,0
I-1010403_1,56,2,8,8,0,0,60.3,32.3,6.6,0.8,0,0,0
I-1010403_1,57,2,8,8,0,0,60.3,32.3,6.6,0.8,0,0,0
I-1010399_1,40,2,1,9,0,0,99.1,0.9,0,0,0,0,0
I-1010395_1,49,1,6,5,5,0,66.6,13.4,8.8,0,0,11.2,0
I-1010390_1,46,2,8,7,10,0,83.1,16.6,0.3,0,0,0,0
I-1010379_1,30,2,5,6,4,0,21.6,7.8,5.4,35.1,30,0,0
I-1010379_1,31,2,5,6,4,0,21.6,7.8,5.4,35.1,30,0,0
I-1010358_1,52,2,3,1,2,0,57.5,7.8,5.9,0.3,17.4,11.1,0
I-1010358_1,53,2,3,1,2,0,57.5,7.8,5.9,0.3,17.4,11.1,0
I-1010354_1,51,2,8,0,7,0,59.9,25.6,7.6,0,6.9,0,0
I-1010334_1,51,2,1,1,2,0,36.2,18.6,28.1,0,0,17.1,0
I-1010334_1,52,2,1,1,2,0,36.2,18.6,28.1,0,0,17.1,0
I-1010328_1,50,2,6,2,2,0,66.8,30.5,2.3,0.4,0,0,0
I-1010323_1,43,1,2,3,0,0,35.9,0,0,0,64.1,0,0
I-1010297_1,71,1,10,8,8,0,58,14.5,0.2,0,0,24.4,3
I-1010297_1,72,1,10,8,8,0,58,14.5,0.2,0,0,24.4,3
I-1010250_1,60,2,0,0,0,0,57.1,22,20.9,0,0,0,0
I-1010236_1,56,2,2,3,4,0,55.1,6.6,9.7,0,0,28,0.5
I-1010229_1,57,2,3,4,3,0,63,37,0,0,0,0,0
I-1010226_1,28,2,1,4,4,0,83.8,13.4,0.4,0,0,2.4,0
I-1010170_1,58,2,9,5,4,0,45.8,38.8,0.4,0,0,5.1,9.9
I-1010165_1,46,2,8,7,4,0,70.4,14.2,9.8,5.6,0,0,0
I-1010164_1,51,1,1,5,3,0,64.4,10.7,17.3,0,0,1.4,6.3
I-1010160_1,58,1,10,3,4,0,88.4,9.1,2.3,0,0,0.2,0
I-1010133_1,60,2,6,6,0,14.2,70.2,12.4,2.4,0,0.3,0.5,0
I-1010133_1,61,2,6,6,0,14.2,70.2,12.4,2.4,0,0.3,0.5,0
I-1010129_1,85,1,10,4,4,0,51,38.8,6,0,0,4.2,0
I-1010128_1,51,2,7,5,6,0,62.7,13.4,23.6,0,0,0.3,0
I-1010128_1,52,2,7,5,6,0,62.7,13.4,23.6,0,0,0.3,0
I-1010122_1,50,1,3,4,0,0,36.1,63.9,0,0,0,0,0
I-1010103_1,52,2,9,8,7,0,95.4,4,0,0.6,0,0,0
I-1010093_1,49,2,10,7,8,0,55.5,19.8,0,0,0,1.6,23.2
I-1010076_1,44,2,2,7,5,0,86.9,10.2,0,0,3,0,0
I-1010075_1,36,1,7,8,9,0,52.2,27.2,1.2,0,19.4,0,0
I-1010075_1,37,1,7,8,9,0,52.2,27.2,1.2,0,19.4,0,0
I-1010072_1,34,2,6,4,0,0,72.9,20.6,0,2.6,0,3.9,0
I-1010072_1,35,2,6,4,0,0,72.9,20.6,0,2.6,0,3.9,0
I-1010066_1,34,1,3,1,1,0,45.8,33.5,20.7,0,0,0,0
I-1010060_1,68,1,7,0,0,0,77.5,15.7,5.2,0,0,1.6,0
I-1010040_1,44,1,4,1,5,0,55.6,20.7,4.2,3.8,2.2,13.5,0
I-1010040_1,45,1,4,1,5,0,55.6,20.7,4.2,3.8,2.2,13.5,0
I-1010025_1,54,2,4,2,3,0,69.4,23,7.6,0,0,0,0
I-1010025_1,55,2,4,2,3,0,69.4,23,7.6,0,0,0,0
I-1010024_1,29,1,3,3,4,0,0,0,0,0,0,0,0
I-1010006_1,44,2,1,2,7,0,80,12.9,7.2,0,0,0,0
I-1010006_1,45,2,1,2,7,0,80,12.9,7.2,0,0,0,0
I-1010005_1,69,1,8,5,5,0,56.3,25.4,0,0,0,14.1,4.2
I-1009992_1,71,1,4,8,0,0,93.5,2.4,4.1,0,0,0,0
I-1009946_1,54,2,1,3,2,0,35,13.3,0,0,15,36.7,0
I-1009917_1,40,2,1,6,0,0,66.9,25.7,7.4,0,0,0,0
I-1009843_1,29,2,1,6,4,0,0,0,0,0,0,0,0
I-1009808_1,68,2,9,7,7,0,63.4,17.5,4.3,9.7,0,5.1,0
I-1009808_1,69,2,9,7,7,0,63.4,17.5,4.3,9.7,0,5.1,0
I-1009788_1,40,1,3,0,7,0,25.3,26.8,3.6,0,0,44.4,0
I-1009740_1,33,2,1,5,4,0,49.3,14.6,0.8,0.8,31.2,3.3,0
