INDIVIDUAL_ID,STREAM_LABEL,AVG_DURATION_SEC
I-1002769_1,BBC2 England,1379
I-1002786_1,BBC News - TV,1178.3333333333333
I-1002786_1,BBC1 Midlands East,10231.416666666666
I-1002786_1,BBC2 England,7229.727272727273
I-1002786_1,BBC4 TV - TV,118
I-1002846_1,BBC News - TV,178
I-1002846_1,BBC1 North West,54922.416666666664
I-1002846_1,BBC2 England,5790
I-1002861_1,BBC News - TV,299
I-1002861_1,BBC1 Midlands West,684
I-1002861_1,BBC2 England,15895
I-1002862_1,BBC News - TV,3237
I-1002862_1,BBC Parliament - TV,59
I-1002862_1,BBC1 London,8275
I-1002862_1,BBC2 England,2478.3333333333335
I-1002862_1,BBC4 TV - TV,178
I-1002864_1,BBC1 South West,12062.636363636364
I-1002864_1,BBC2 England,4551.3
I-1002864_1,BBC4 TV - TV,1018
I-1002869_1,BBC News - TV,1091.75
I-1002869_1,BBC1 North West,4079.7
I-1002869_1,BBC2 England,3434.1111111111113
I-1002894_1,BBC1 North West,21522.666666666668
I-1002894_1,BBC2 England,11359.166666666666
I-1002894_1,BBC4 TV - TV,2010.6
I-1002898_1,BBC1 Midlands West,8043.833333333333
I-1002898_1,BBC2 England,178
I-1002898_1,BBC4 TV - TV,118
I-1002918_1,BBC Alba - TV,88.5
I-1002918_1,BBC News - TV,418
I-1002918_1,BBC1 Yorkshire and Lincolnshire,20672
I-1002918_1,BBC2 England,1626.6666666666667
I-1002918_1,BBC4 TV - TV,1812.25
I-1002923_1,BBC Alba - TV,118
I-1002923_1,BBC News - TV,417
I-1002923_1,BBC1 Scotland,58063
I-1002923_1,BBC2 Scotland,15170.8
I-1002923_1,BBC4 TV - TV,6649.5
I-1002923_1,CBeebies - TV,59
I-1002954_1,BBC1 London,14279
I-1002963_1,BBC News - TV,8451.083333333334
I-1002963_1,BBC Parliament - TV,649.875
I-1002963_1,BBC1 East of England,30681.083333333332
I-1002963_1,BBC2 England,3182.1666666666665
I-1002963_1,BBC4 TV - TV,3496.25
I-1002963_1,CBeebies - TV,22942.583333333332
I-1002968_1,BBC News - TV,358.3333333333333
I-1002968_1,BBC1 South West,7542.363636363636
I-1002968_1,BBC2 England,5762.909090909091
I-1002975_1,BBC News - TV,358
I-1002975_1,BBC1 Midlands East,12782.75
I-1002975_1,BBC2 England,1266.5714285714287
I-1002984_1,BBC1 Scotland,3176.4
I-1002989_1,BBC News - TV,1614
I-1002989_1,BBC Parliament - TV,177.5
I-1002989_1,BBC1 East of England,14258.166666666666
I-1002989_1,BBC2 England,4929
I-1002989_1,BBC4 TV - TV,1139
I-1003105_1,BBC1 South West,2206
I-1003105_1,BBC2 England,147.5
I-1003105_1,BBC4 TV - TV,148
I-1003108_1,BBC1 Yorkshire and Lincolnshire,8281.333333333334
I-1003108_1,BBC2 England,2778.6363636363635
I-1003118_1,BBC1 North West,14234.333333333334
I-1003118_1,BBC2 England,2559.1428571428573
I-1003118_1,BBC4 TV - TV,355
I-1003118_1,CBeebies - TV,3272.4
I-1003179_1,BBC1 Yorkshire and Lincolnshire,8993
I-1003179_1,BBC2 England,59
I-1003190_1,BBC1 Wales,30824
I-1003190_1,BBC2 Wales,4695
I-1003205_1,BBC Alba - TV,1197
I-1003205_1,BBC1 Scotland,7631.571428571428
I-1003205_1,BBC2 Scotland,717.3333333333334
I-1003214_1,BBC News - TV,1439
I-1003214_1,BBC1 Midlands West,44987.666666666664
I-1003214_1,BBC2 England,68494
I-1003214_1,BBC4 TV - TV,59
I-1003257_1,BBC News - TV,208.5
I-1003257_1,BBC1 West,12693.5
I-1003257_1,BBC2 England,4557.7
I-1003257_1,BBC4 TV - TV,2778.4
I-1003267_1,BBC1 London,2062
I-1003267_1,BBC2 England,178
I-1003276_1,BBC1 Midlands East,732.75
I-1003276_1,BBC2 England,59
I-1003291_1,BBC1 Midlands West,21762.666666666668
I-1003291_1,BBC2 England,2993.4166666666665
I-1003291_1,BBC4 TV - TV,239
I-1003301_1,BBC1 North East and Cumbria,9020
I-1003301_1,BBC2 England,2377.75
I-1003301_1,BBC4 TV - TV,89
I-1003305_1,BBC1 London,59
I-1003355_1,BBC1 North West,22745
I-1003355_1,BBC2 England,33418.5
I-1003355_1,BBC4 TV - TV,15322.5
I-1003368_1,BBC Alba - TV,419
I-1003368_1,BBC News - TV,20187.636363636364
I-1003368_1,BBC Parliament - TV,521.5
I-1003368_1,BBC1 East of England,16960.545454545456
I-1003368_1,BBC2 England,8402.444444444445
I-1003368_1,BBC4 TV - TV,3142.714285714286
I-1003396_1,BBC News - TV,1857
I-1003396_1,BBC Parliament - TV,298
I-1003396_1,BBC1 West,45598.166666666664
